AIRPORT3157,AIRPORT3157,"Don Mueang International Airport","Bangkok","Thailand","DMK","VTBD"
AIRPORT3156,AIRPORT3156,"Malé International Airport","Male","Maldives","MLE","VRMM"
AIRPORT3155,AIRPORT3155,"Paro Airport","Thimphu","Bhutan","PBH","VQPR"
AIRPORT3153,AIRPORT3153,"Trivandrum International Airport","Trivandrum","India","TRV","VOTV"
AIRPORT3152,AIRPORT3152,"Tiruchirapally Civil Airport Airport","Tiruchirappalli","India","TRZ","VOTR"
AIRPORT3151,AIRPORT3151,"Tirupati Airport","Tirupeti","India","TIR","VOTP"
AIRPORT3150,AIRPORT3150,"Tanjore Air Force Base","Tanjore","India",null,"VOTJ"
AIRPORT7508,AIRPORT7508,"Liping Airport","Liping","China","HZH","ZUNP"
AIRPORT7506,AIRPORT7506,"Xingyi Airport","Xingyi","China","ACX","ZUYI"
AIRPORT7504,AIRPORT7504,"Longyan Guanzhishan Airport","Longyan","China","LCX","ZSLD"
AIRPORT7503,AIRPORT7503,"Fuyang Xiguan Airport","Fuyang","China","FUG","ZSFY"
AIRPORT7501,AIRPORT7501,"Chakcharan Airport","Chaghcharan","Afghanistan","CCN","OACC"
AIRPORT7500,AIRPORT7500,"Zaranj Airport","Zaranj","Afghanistan","ZAJ","OAZJ"
AIRPORT3149,AIRPORT3149,"Salem Airport","Salem","India",null,"VOSM"
AIRPORT3148,AIRPORT3148,"Rajahmundry Airport","Rajahmundry","India","RJA","VORY"
AIRPORT3147,AIRPORT3147,"Pondicherry Airport","Pendicherry","India","PNY","VOPC"
AIRPORT3146,AIRPORT3146,"Vir Savarkar International Airport","Port Blair","India","IXZ","VOPB"
AIRPORT3145,AIRPORT3145,"Nagarjuna Sagar Airport","Nagarjunsagar","India",null,"VONS"
AIRPORT3144,AIRPORT3144,"Chennai International Airport","Madras","India","MAA","VOMM"
AIRPORT3143,AIRPORT3143,"Mangalore International Airport","Mangalore","India","IXE","VOML"
AIRPORT3142,AIRPORT3142,"Madurai Airport","Madurai","India","IXM","VOMD"
AIRPORT3141,AIRPORT3141,"Begumpet Airport","Hyderabad","India","BPM","VOHY"
AIRPORT3140,AIRPORT3140,"Dundigul Air Force Academy","Dundigul","India",null,"VODG"
AIRPORT399,AIRPORT399,"Braunschweig Wolfsburg Airport","Braunschweig","Germany","BWE","EDVE"
AIRPORT398,AIRPORT398,"Finsterwalde/Schacksdorf Airport","Soest","Germany",null,"EDUS"
