AIRLINE16198,AIRLINE16198,"Small Planet Airlines","","ELC","Lithuania",1
AIRLINE222,AIRLINE222,"Air Inuit","","AIE","Canada",0
AIRLINE16197,AIRLINE16197,"Air Charter International","SF",null,"France",0
AIRLINE5533,AIRLINE5533,"Tyrolean Airways",null,"TYR",null,1
AIRLINE221,AIRLINE221,"Air Atlanta Icelandic","CC","ABD","Iceland",1
AIRLINE220,AIRLINE220,"Air Bourbon","ZB","BUB","Reunion",1
AIRLINE3359,AIRLINE3359,"MTC Aviacion","","MCV","Mexico",0
AIRLINE3358,AIRLINE3358,"MSR Flug-Charter","","EBF","Germany",0
AIRLINE3357,AIRLINE3357,"MNG Airlines","MB","MNB","Turkey",1
AIRLINE3356,AIRLINE3356,"MK Airline","","MKA","Ghana",0
AIRLINE3355,AIRLINE3355,"MIT Airlines","","MNC","Canada",0
AIRLINE3354,AIRLINE3354,"MIAT Mongolian Airlines","OM","MGL","Mongolia",1
AIRLINE3353,AIRLINE3353,"MIA Airlines","","JLA","Romania",0
AIRLINE1179,AIRLINE1179,"Air Mobility Command","MC","RCH","United States",0
AIRLINE3352,AIRLINE3352,"MG Aviacion","","MGA","Spain",0
AIRLINE1178,AIRLINE1178,"Aeroflot-Cargo","","RCF","Russia",0
AIRLINE3351,AIRLINE3351,"MCC Aviation","","MCC","South Africa",0
AIRLINE1177,AIRLINE1177,"Aerocer","","RCE","Mexico",0
AIRLINE3350,AIRLINE3350,"MAT Macedonian Airlines","IN","MAK","Macedonia",1
AIRLINE1176,AIRLINE1176,"Air Charters Eelde","","RCC","Netherlands",0
AIRLINE1175,AIRLINE1175,"Arubaexel","","RBX","Aruba",0
AIRLINE1174,AIRLINE1174,"Air Roberval","","RBV","Canada",0
AIRLINE1173,AIRLINE1173,"Airbus France","4Y","RBU","France",0
AIRLINE1172,AIRLINE1172,"Aeroserivios Del Bajio","","RBJ","Mexico",0
AIRLINE1171,AIRLINE1171,"Aur Rum Benin","","RBE","Benin",0
AIRLINE1170,AIRLINE1170,"Air Center Helicopters","","RAP","United States",0
AIRLINE219,AIRLINE219,"Air Inter Gabon","","AIG","Gabon",0
AIRLINE218,AIRLINE218,"Air India Limited","AI","AIC","India",1
AIRLINE217,AIRLINE217,"Air Illinois","","AIL","United States",0
AIRLINE216,AIRLINE216,"Air Contractors","AG","ABR","Ireland",0
AIRLINE215,AIRLINE215,"Air Brousse","","ABT","Canada",0
AIRLINE5526,AIRLINE5526,"Zracno Pristaniste Mali Losinj","","MLU","Croatia",0
AIRLINE214,AIRLINE214,"Air Berlin","AB","BER","Germany",1
AIRLINE5525,AIRLINE5525,"Zorex","","ORZ","Spain",0
AIRLINE213,AIRLINE213,"Air Bandama","","BDM","Ivory Coast",0
AIRLINE5524,AIRLINE5524,"Zoom Airways","","ZAW","Bangladesh",0
AIRLINE212,AIRLINE212,"Air Baffin","","BFF","Canada",0
AIRLINE5523,AIRLINE5523,"Zoom Airlines","Z4","OOM","Canada",1
AIRLINE211,AIRLINE211,"Airest","","AIT","Estonia",0
AIRLINE5522,AIRLINE5522,"Zimex Aviation","C4","IMX","Switzerland",0
AIRLINE210,AIRLINE210,"Airlift International","","AIR","United States",1
AIRLINE3349,AIRLINE3349,"MasAir","M7","MAA","Mexico",1
AIRLINE5521,AIRLINE5521,"Zip","3J","WZP","Canada",0
AIRLINE3348,AIRLINE3348,"MAS Airways","","TFG","United Kingdom",0
AIRLINE5520,AIRLINE5520,"Zhongyuan Aviation","","CYN","China",0
AIRLINE3347,AIRLINE3347,"MAP-Management and Planung","","MPJ","Austria",0
AIRLINE3346,AIRLINE3346,"MANAG'AIR","","MRG","France",0
AIRLINE3345,AIRLINE3345,"MAC Fotografica","","MCF","Spain",0
AIRLINE3344,AIRLINE3344,"M & N Aviation","","JNH","United States",0
AIRLINE3343,AIRLINE3343,"L","","LAU","Colombia",0
AIRLINE1169,AIRLINE1169,"Aerotur-Air","","RAI","Kazakhstan",0
AIRLINE3342,AIRLINE3342,"L","MJ","LPR","Argentina",1
AIRLINE1168,AIRLINE1168,"Alada","","RAD","Angola",0
AIRLINE1167,AIRLINE1167,"Aero Quimmco","","QUI","Mexico",0
AIRLINE3340,AIRLINE3340,"Lynx Aviation","","LYX","Pakistan",0
AIRLINE1166,AIRLINE1166,"African Safari Airways","QS","QSC","Kenya",0
AIRLINE1165,AIRLINE1165,"Aviation Quebec Labrador","","QLA","Canada",0
AIRLINE1164,AIRLINE1164,"Aero Taxi Aviation","","QKC","United States",0
AIRLINE1163,AIRLINE1163,"Aero Taxi","","QAT","Canada",0
AIRLINE1162,AIRLINE1162,"Aviation Consultancy Office","","QEA","Australia",0
AIRLINE1161,AIRLINE1161,"Air Class Lineas Aereas","QD","QCL","Uruguay",0
AIRLINE1160,AIRLINE1160,"Aereo Taxi Paraza","","PZA","Mexico",0
AIRLINE20657,AIRLINE20657,"Bassaka airlines","5B","BSX","Cambodia",1
AIRLINE209,AIRLINE209,"Airmark Aviation","","THM","Thailand",0
AIRLINE20653,AIRLINE20653,"Aeronautica Militare","","IAM","Italy",1
AIRLINE208,AIRLINE208,"Airblue","ED","ABQ","Pakistan",1
AIRLINE5519,AIRLINE5519,"Zhongfei General Aviation","","CFZ","China",0
AIRLINE207,AIRLINE207,"Aba Air","","ABP","Czech Republic",0
AIRLINE5518,AIRLINE5518,"Zhez Air","","KZH","Kazakhstan",0
AIRLINE206,AIRLINE206,"Alicante Internacional Airlines","","AIU","Spain",0
AIRLINE5517,AIRLINE5517,"Zhetysu","","JTU","Kazakhstan",0
AIRLINE205,AIRLINE205,"Alpine Air Express","5A","AIP","United States",0
AIRLINE5516,AIRLINE5516,"Zhejiang Airlines","","CJG","China",0
AIRLINE204,AIRLINE204,"African International Airways","","AIN","Swaziland",0
AIRLINE5515,AIRLINE5515,"Zephyr Express","","RZR","United States",0
AIRLINE203,AIRLINE203,"African Airlines International Limited","","AIK","Kenya",0
AIRLINE5514,AIRLINE5514,"Zenmour Airlines","","EMR","Mauritania",0
AIRLINE202,AIRLINE202,"ABC Aerolineas","","AIJ","Mexico",0
AIRLINE5513,AIRLINE5513,"Zenith Air","","AZR","South Africa",0
AIRLINE201,AIRLINE201,"Air Integra","","AII","Canada",0
AIRLINE5512,AIRLINE5512,"ZAS Airlines of Egypt","","ZAS","Egypt",0
AIRLINE200,AIRLINE200,"Alpine Air Chile","","AIH","Chile",0
AIRLINE3339,AIRLINE3339,"Lynx Air International","","LXF","United States",0
AIRLINE5511,AIRLINE5511,"Zantop International Airlines","","ZAN","United States",0
AIRLINE3338,AIRLINE3338,"Lynden Air Cargo","L2","LYC","United States",0
AIRLINE5510,AIRLINE5510,"Zanair","","TAN","Tanzania",1
AIRLINE3337,AIRLINE3337,"Lynch Flying Service","","LCH","United States",0
AIRLINE3336,AIRLINE3336,"Lydd Air","","LYD","United Kingdom",0
AIRLINE3335,AIRLINE3335,"Lviv Airlines","5V","UKW","Ukraine",0
AIRLINE3334,AIRLINE3334,"Luzair","","LUZ","Portugal",0
AIRLINE3333,AIRLINE3333,"Luxor Air","","LXO","Egypt",0
AIRLINE1159,AIRLINE1159,"Aerotransportes Privados","","PVA","Mexico",0
AIRLINE3332,AIRLINE3332,"Luxflight Executive","","LFE","Luxembourg",0
AIRLINE1158,AIRLINE1158,"Aeroservicios Corporativos De San Luis","","PSL","Mexico",0
AIRLINE3331,AIRLINE3331,"Luxembourg Air Rescue","","LUV","Luxembourg",0
AIRLINE1157,AIRLINE1157,"Aeroservicio Sipse","","PSE","Mexico",0
AIRLINE3330,AIRLINE3330,"Luxaviation","","LXA","Luxembourg",0
AIRLINE1156,AIRLINE1156,"Air Paradise International","AD","PRZ","Indonesia",0
AIRLINE1155,AIRLINE1155,"Atlantic Coast Jet","","PRT","United States",0
AIRLINE1154,AIRLINE1154,"Aerotransportes Privados","","PRI","Mexico",0
AIRLINE1153,AIRLINE1153,"Apoyo Aereo","","POY","Mexico",0
AIRLINE1152,AIRLINE1152,"Aero Servicios Platinum","","PNU","Mexico",0
AIRLINE1151,AIRLINE1151,"Aero Personal","","PNL","Mexico",0
AIRLINE1150,AIRLINE1150,"AST Pakistan Airways","","PKA","Pakistan",0
AIRLINE5509,AIRLINE5509,"Zambezi Airlines","","ZMA","Zambia",0
AIRLINE5508,AIRLINE5508,"Zambian Airways","Q3","MBN","Zambia",0
AIRLINE5507,AIRLINE5507,"Zairean Airlines","","ZAR","Democratic Republic of Congo",0
AIRLINE5506,AIRLINE5506,"Zaire Aero Service","","ZAI","Democratic Republic of Congo",0
AIRLINE5505,AIRLINE5505,"Zagros Airlines","","IZG","Iran",0
AIRLINE5504,AIRLINE5504,"Z-Avia","","RZV","Armenia",0
AIRLINE3329,AIRLINE3329,"Luxair","LG","LGL","Luxembourg",1
AIRLINE5501,AIRLINE5501,"Yuzhmashavia","","UMK","Ukraine",1
